1		I		0		    2350
2		P		120		    1829
3		B		40		    1033
4		B		80		    1289
5		P		240		    1115
6		B		160		    809
7		B		200		    811
8		P		360		    1036
9		B		280		    719
10		B		320		    648
11		I		480		    2551
12		B		400		    715
13		B		440		    736
14		P		600		    1131
15		B		520		    810
16		B		560		    765
17		P		720		    1306
18		B		640		    851
19		B		680		    933
20		P		840		    1226
21		B		760		    894
22		B		800		    975
23		I		960		    2913
24		B		880		    995
25		B		920		    1045
26		P		1080		1472
27		B		1000		1173
28		B		1040		1060
29		P		1200		1597
30		B		1120		1063
31		B		1160		1046
32		P		1320		1577
33		B		1240		1022
34		B		1280		1038
35		I		1440		3275
36		B		1360		1222
37		B		1400		1209
38		P		1560		1761
39		B		1480		1263
40		B		1520		1324
41		P		1680		1886
42		B		1600		1403
43		B		1640		1427
44		P		1800		1741
45		B		1720		1421
46		B		1760		1380
47		I		1920		3193
48		B		1840		1322
49		B		1880		1373
50		P		2040		1704
51		B		1960		1204
52		B		2000		1164
53		P		2160		1805
54		B		2080		1173
55		B		2120		1156
56		P		2280		1989
57		B		2200		1293
58		B		2240		1274
59		I		2400		3184
60		B		2320		1359
61		B		2360		1401
62		P		2520		1782
63		B		2440		1216
64		B		2480		1197
65		P		2640		1640
66		B		2560		1167
67		B		2600		1146
68		P		2760		1685
69		B		2680		1282
70		B		2720		1175
71		I		2880		2494
72		B		2800		1207
73		B		2840		1114
74		P		3000		1641
75		B		2920		1188
76		B		2960		1117
77		P		3120		1978
78		B		3040		1248
79		B		3080		1336
80		P		3240		2271
81		B		3160		1455
82		B		3200		1593
83		I		3360		3069
84		B		3280		1824
85		B		3320		1933
86		P		3480		3225
87		B		3400		2218
88		B		3440		2351
89		P		3600		3774
90		B		3520		2465
91		B		3560		2431
92		P		3720		3870
93		B		3640		2169
94		B		3680		2207
95		I		3840		3196
96		B		3760		2283
97		B		3800		2707
98		P		3960		3607
99		B		3880		2554
100		B		3920		2764
101		P		4080		3414
102		B		4000		2873
103		B		4040		2624
104		P		4200		2981
105		B		4120		2286
106		B		4160		2186
107		I		4320		3095
108		B		4240		1980
109		B		4280		1848
110		P		4440		2511
111		B		4360		1700
112		B		4400		1694
113		P		4560		2284
114		B		4480		1499
115		B		4520		1471
116		P		4680		2371
117		B		4600		1451
118		B		4640		1391
119		I		4800		2675
120		B		4720		1379
121		B		4760		1311
122		P		4920		2204
123		B		4840		1380
124		B		4880		1317
125		P		5040		2177
126		B		4960		1350
127		B		5000		1390
128		P		5160		2241
129		B		5080		1353
130		B		5120		1317
131		I		5280		2557
132		B		5200		1190
133		B		5240		1116
134		P		5400		1776
135		B		5320		1177
136		B		5360		1200
137		P		5520		1844
138		B		5440		1169
139		B		5480		1240
140		P		5640		1736
141		B		5560		1121
142		B		5600		1099
143		I		5760		2599
144		B		5680		1041
145		B		5720		1091
146		P		5880		1765
147		B		5800		1164
148		B		5840		1234
149		P		6000		1689
150		B		5920		1176
151		B		5960		1141
152		P		6120		1565
153		B		6040		898
154		B		6080		986
155		I		6240		2546
156		B		6160		855
157		B		6200		998
158		P		6360		1482
159		B		6280		860
160		B		6320		968
161		P		6480		1555
162		B		6400		991
163		B		6440		1036
164		P		6600		1455
165		B		6520		1093
166		B		6560		1123
167		I		6720		2503
168		B		6640		1017
169		B		6680		1044
170		P		6840		1543
171		B		6760		1037
172		B		6800		1024
173		P		6960		1443
174		B		6880		1009
175		B		6920		1125
176		P		7080		1537
177		B		7000		1104
178		B		7040		1069
179		I		7200		2733
180		B		7120		1009
181		B		7160		1114
182		P		7320		1636
183		B		7240		1094
184		B		7280		1107
185		P		7440		1511
186		B		7360		1155
187		B		7400		1064
188		P		7560		1743
189		B		7480		1145
190		B		7520		1138
191		I		7680		2964
192		B		7600		1185
193		B		7640		1320
194		P		7800		1984
195		B		7720		1311
196		B		7760		1325
197		P		7920		1953
198		B		7840		1199
199		B		7880		1213
200		P		8040		1872
201		B		7960		1238
202		B		8000		1272
203		I		8160		3121
204		B		8080		1451
205		B		8120		1387
206		P		8280		1993
207		B		8200		1406
208		B		8240		1368
209		P		8400		2273
210		B		8320		1555
211		B		8360		1558
212		P		8520		2144
213		B		8440		1559
214		B		8480		1668
215		I		8640		3368
216		B		8560		1528
217		B		8600		1582
218		P		8760		1959
219		B		8680		1407
220		B		8720		1429
221		P		8880		1898
222		B		8800		1339
223		B		8840		1437
224		P		9000		2023
225		B		8920		1458
226		B		8960		1491
227		I		9120		3317
228		B		9040		1470
229		B		9080		1616
230		P		9240		1776
231		B		9160		1336
232		B		9200		1332
233		P		9360		1704
234		B		9280		1183
235		B		9320		1339
236		P		9480		1683
237		B		9400		1293
238		B		9440		1269
239		I		9600		2955
240		B		9520		1243
241		B		9560		1288
242		P		9720		1436
243		B		9640		1286
244		B		9680		1383
